Garage_Cars,Year_Built,Gr_Liv_Area,Total_Bsmt_SF,First_Flr_SF,Wood_Deck_SF,Fireplaces,Lot_Area,Second_Flr_SF,Garage_Area
4,2000,2787,1168,1168,312,2,11855,1619,820
2,2006,1550,1550,1550,0,0,5330,0,528
1,1954,1063,1056,1063,0,0,9920,0,280
1,1972,1302,630,630,185,0,1680,672,264
1,1920,864,592,432,0,0,9000,432,216
1,1964,1251,1251,1251,0,2,8800,0,461
2,1910,1436,676,760,147,0,8777,676,528
2,1965,1986,768,1186,0,3,13600,800,486
2,1999,1755,840,840,176,1,9468,915,530
1,1959,882,0,882,0,0,8339,0,294
1,1966,912,912,912,204,0,8169,0,315
3,2006,2828,1466,1466,125,1,9965,1362,1052
1,1920,1450,624,730,0,0,5350,720,288
2,2005,1536,768,768,100,1,10237,768,400
2,1999,2322,1037,1037,144,1,12460,1285,400
2,1967,1334,1334,1334,0,0,10140,0,477
2,1979,1625,1625,1625,136,1,23580,0,576
3,2006,2076,2076,2076,216,1,13891,0,850
2,1965,1073,1073,1073,0,0,10289,0,515
1,1940,919,600,600,0,0,6001,319,231
2,1991,1595,1582,1595,0,0,11070,0,672
1,1956,1073,1073,1073,0,0,9571,0,340
2,1995,2090,1220,1220,0,1,10000,870,556
2,1968,1295,1295,1295,0,0,11700,0,528
1,1954,1089,1089,1089,328,1,7440,0,252
0,1931,774,544,774,0,0,4270,0,0
2,1977,1069,1069,1069,0,1,4043,0,440
2,1978,1110,1097,1110,303,1,9101,0,602
0,1920,1452,736,736,0,0,4456,716,0
2,1958,1560,1560,1560,0,0,8078,0,484
3,2006,1258,1258,1258,144,1,3922,0,648
2,1996,1636,916,916,168,1,15038,720,386
2,1999,1983,978,1005,0,1,10762,978,490
2,1948,1325,409,1325,0,1,17541,0,576
2,1997,1525,813,813,421,1,8238,712,400
0,1930,1200,780,780,0,0,8155,420,0
2,1960,1560,1560,1560,0,3,25485,0,580
0,1994,990,990,990,0,0,8070,0,0
0,1872,2358,684,938,0,0,5250,1215,0
0,1971,858,858,858,0,0,8125,0,0
2,2006,1456,728,728,0,1,11103,728,440
1,1955,1056,1056,1056,0,0,13600,0,300
2,2004,1548,1365,1548,143,1,3072,0,388
3,2003,2046,998,1006,320,1,10625,1040,871
2,1971,864,864,864,216,0,10500,0,576
2,2004,1646,1594,1646,128,1,3842,0,482
1,1957,1236,1070,1236,0,1,10011,0,447
2,1978,2050,832,1154,192,1,13250,896,529
2,2001,1789,858,872,0,1,10646,917,546
2,2006,1294,1286,1294,168,1,6762,0,662
2,2003,1114,1114,1114,0,0,13695,0,576
2,1979,1586,1362,1586,192,1,17043,0,435
2,2007,1232,1232,1232,132,0,7314,0,632
1,1962,999,925,999,150,0,10205,0,300
2,1972,864,864,864,155,0,7200,0,576
3,2006,2945,1410,1426,192,1,13682,1519,641
2,1991,2417,1288,1301,127,1,16059,1116,462
3,2006,2640,2036,2036,0,1,13162,604,792
2,2005,1964,1100,1116,200,1,12447,848,760
1,1915,1605,840,840,0,0,5790,765,379
1,1920,1077,961,1077,0,0,8967,0,338
1,1959,1150,1150,1150,0,0,7945,0,300
1,1948,936,624,624,0,0,6956,312,265
2,2007,1340,1340,1340,100,0,8899,0,396
2,1926,1316,750,960,0,0,8550,356,576
1,1968,898,833,898,143,0,8400,0,326
2,2005,1490,745,745,36,1,8918,745,392
1,1921,1073,1073,1073,0,0,5400,0,326
0,1915,1526,1013,1013,0,0,8470,0,0
2,2005,1456,728,728,0,1,10237,728,390
2,1920,985,576,985,0,0,7898,0,676
2,1976,1044,960,1044,228,1,6285,0,528
3,2007,1702,1702,1702,0,1,10130,0,844
2,1998,2452,1028,1210,208,1,16226,1242,683
2,1971,1670,825,845,0,0,13355,825,464
2,1998,1204,1204,1204,0,0,4500,0,412
1,1954,984,936,984,0,0,6390,0,280
1,1942,976,976,976,160,0,7288,0,215
2,1978,1034,450,1034,311,1,7703,0,504
2,2004,1709,970,970,0,0,2522,739,380
3,2000,2172,1519,1533,162,1,11000,639,687
2,1962,1057,1057,1057,0,0,7420,0,576
2,2006,1370,1370,1370,120,1,6442,0,484
2,1990,2329,1475,1532,192,1,11839,797,514
1,1960,1100,1100,1100,355,1,12493,0,312
2,2003,1668,840,840,144,0,11317,828,500
2,1991,1294,1278,1294,112,0,7153,0,496
2,1962,1283,931,1283,0,0,7763,0,506
2,2001,1788,1753,1788,202,1,11838,0,522
2,1968,1044,912,1044,200,1,10180,0,372
1,1959,1041,1041,1041,224,0,9600,0,270
2,1978,1981,1117,1117,336,1,17082,864,522
1,1959,864,864,864,0,0,9100,0,300
1,2008,1133,192,1133,0,0,9836,0,308
1,1950,1521,910,910,199,0,12144,611,597
2,2000,1848,975,975,280,1,7379,873,592
2,2007,1358,1350,1358,192,1,10307,0,484
1,1924,1691,1026,1026,0,1,5000,665,308
2,2005,1166,856,1166,212,0,9587,0,400
3,2003,1792,1792,1792,206,1,11846,0,874
1,1962,912,912,912,140,0,12968,0,352
2,1998,1796,794,882,0,0,9531,914,546
1,1967,980,980,980,68,0,9750,0,384
2,2000,2054,992,1022,24,1,12224,1032,390
1,1957,845,0,845,186,0,11500,0,290
2,1988,2062,1157,1180,60,1,14364,882,454
1,1958,1601,533,1021,280,0,13825,580,300
2,1927,756,660,756,80,0,9259,0,440
2,1970,864,864,864,210,0,7038,0,576
2,1957,1236,912,1236,0,0,7407,0,923
2,1999,1675,1666,1675,165,0,7915,0,435
0,1978,1040,1040,1040,0,0,8430,0,0
1,1920,967,967,967,0,1,3153,0,180
3,2008,2007,1017,1026,168,1,11003,981,812
2,2004,1143,1143,1143,0,1,3628,0,588
1,1958,1142,160,1142,0,1,9000,0,384
3,1918,2624,1370,1370,0,1,22420,1254,864
1,1920,1192,596,596,0,0,6402,596,189
2,1986,1453,1453,1453,0,1,5271,0,445
2,1999,1764,850,886,120,1,11690,878,560
2,1954,1906,1310,1906,0,2,17500,0,576
2,1898,2138,849,1075,40,0,8100,1063,360
1,1978,864,864,864,0,0,7000,0,336
1,1950,841,721,841,250,0,8400,0,294
2,1967,2640,932,1271,0,1,10400,1369,515
2,1956,1437,1188,1437,304,1,14175,0,576
2,1996,2125,1064,1064,168,2,10990,1061,576
1,1959,1143,1143,1143,0,0,8050,0,308
1,1958,808,808,808,143,0,5175,0,308
2,1963,816,816,816,106,0,8472,0,516
2,1930,1573,1078,1128,0,1,6240,445,360
0,1890,1544,925,1000,231,0,14190,544,0
1,1922,1022,1022,1022,0,1,4480,0,184
2,1992,1731,836,844,307,0,9370,887,462
2,1955,1360,384,1360,0,1,7134,0,572
2,2005,1190,1169,1190,100,0,8769,0,578
1,1969,1176,1176,1176,0,0,16133,0,360
2,2000,1690,924,948,100,1,8063,742,463
3,1994,2063,2024,2063,182,2,10750,0,815
2,1970,1422,925,1422,252,0,9457,0,576
3,2005,1546,1546,1546,144,0,11750,0,796
1,1973,945,945,945,174,1,2394,0,253
2,1996,1716,880,909,0,1,8750,807,512
2,2005,1306,1306,1306,170,1,5381,0,624
2,1992,1593,808,808,342,1,9636,785,389
2,1969,1427,1427,1427,0,0,11104,0,516
2,1890,2268,346,1157,0,0,9000,1111,624
4,1993,1440,1344,1440,288,0,9069,0,920
2,2000,1889,982,1008,0,1,8658,881,431
2,2002,1419,408,779,120,1,7750,640,527
2,2005,1072,547,1072,0,0,3675,0,525
2,1991,1472,384,802,164,1,10784,670,402
2,2007,1869,1869,1869,210,1,7820,0,617
2,1970,864,864,864,0,0,8120,0,463
2,1885,2290,777,1246,0,0,11340,1044,560
2,1980,1229,561,561,154,1,1612,668,462
1,1930,816,816,816,0,0,5890,0,432
2,1976,1671,1426,1671,280,1,16280,0,550
2,1993,1199,1199,1199,0,0,7892,0,530
2,1924,1301,1145,1301,0,0,6911,0,440
2,1961,1453,1453,1453,0,1,10573,0,530
3,1957,1797,1617,1797,0,1,11765,0,963
0,1954,1124,0,1124,0,1,8335,0,0
2,1965,1214,1214,1214,0,0,9170,0,461
1,1946,704,560,704,0,0,4280,0,220
3,2006,1977,982,982,240,0,9605,995,574
2,2000,1349,1349,1349,120,0,8450,0,539
1,1915,1456,728,728,0,0,6000,728,308
2,2006,1335,1335,1335,0,0,9000,0,575
3,2006,1828,1298,1298,0,0,10732,530,876
3,2007,2290,2320,2290,192,1,17169,0,1174
2,1966,1093,1093,1093,224,1,10738,0,484
2,1929,1344,672,672,0,1,5700,672,456
0,1971,796,796,796,129,0,6723,0,0
2,1971,1078,1078,1078,0,1,12537,0,500
2,1975,1558,864,1558,140,0,14330,0,440
1,1946,1242,484,1242,0,0,17808,0,336
2,1972,1790,732,1012,148,1,10400,778,484
2,1997,1604,926,926,0,1,10839,678,470
2,1967,1620,1620,1620,0,1,15387,0,578
3,2004,1780,1780,1780,144,1,14828,0,816
2,1975,1193,1176,1193,40,1,11050,0,506
2,2005,1408,734,734,0,0,7023,674,489
0,1945,866,686,866,58,0,3880,0,0
3,2005,2028,1868,2028,326,2,11443,0,880
1,1968,952,952,952,0,0,8300,0,288
2,1915,2180,1138,1138,0,1,10320,1042,720
1,1956,1104,1104,1104,0,0,10425,0,384
2,1920,1362,611,751,0,0,6155,611,502
2,1936,1135,560,575,256,0,7200,560,576
2,2007,2610,1184,1184,208,1,9000,1426,550
1,1930,1098,531,567,0,1,4000,531,216
2,1958,1650,1632,1650,0,2,50102,0,518
2,2003,1557,1374,1557,143,1,3196,0,420
2,1920,1118,648,734,0,0,4400,384,440
2,1948,1122,924,1122,0,0,12000,0,528
2,1963,1395,1395,1395,657,1,9760,0,440
3,1995,2726,1342,1358,307,1,10019,1368,725
1,1926,919,894,919,0,0,7000,0,195
3,2003,2452,2452,2452,0,1,15274,0,886
2,2003,1405,1405,1405,148,1,3136,0,478
1,1957,1244,1244,1244,0,2,11988,0,336
3,2004,2373,1052,1052,120,1,11631,1321,632
2,2006,1492,738,738,100,0,9073,754,440
2,1930,768,768,768,0,0,6291,0,440
2,1997,1786,824,905,0,0,9337,881,684
1,1924,1310,617,865,0,0,7000,445,398
2,2009,1224,612,612,0,0,3000,612,528
2,1953,910,105,910,196,0,8892,0,414
3,2004,2468,1136,1136,184,1,12099,1332,872
2,1954,1363,1385,1363,81,2,39104,0,439
2,1995,1616,1595,1616,237,1,5389,0,608
2,1994,1850,973,979,168,1,29959,871,467
2,1937,1176,698,786,210,0,6000,390,624
1,1956,1509,1509,1509,158,1,9571,0,322
1,1996,1097,1097,1097,306,0,16561,0,242
2,2005,1208,1208,1208,105,0,7488,0,632
2,1978,2784,1392,1392,0,2,16692,1392,564
1,1936,879,830,879,0,0,5220,0,180
2,1992,2295,1095,1166,0,1,13346,1129,590
2,1923,1848,833,1053,0,1,13053,795,370
2,1990,2514,1216,1298,0,0,11170,1216,693
1,1967,1656,624,1092,0,1,6000,564,288
2,1986,1400,676,698,0,0,10274,702,465
2,1999,1651,831,873,0,1,8390,778,450
1,1930,1324,741,741,0,0,6120,583,180
2,2007,1761,874,874,144,0,10207,887,578
2,1973,1656,1656,1656,0,0,9246,0,506
2,1981,1422,1422,1422,276,1,12090,0,576
2,2006,1625,1573,1625,123,1,5568,0,495
0,1971,864,864,864,0,1,10500,0,0
1,1940,1090,720,760,0,0,6000,330,240
3,2005,2206,1090,1117,148,1,13975,1089,670
2,2006,1442,352,712,100,0,9802,730,400
3,2005,2097,2077,2097,192,1,20896,0,1134
0,1910,1447,801,801,80,0,10134,646,0
2,1988,1412,1392,1412,0,1,11457,0,576
1,1984,923,876,923,362,0,6951,0,264
3,2003,2385,1317,1217,192,1,14277,1168,818
1,1982,845,845,845,0,0,6600,0,264
1,1910,1330,396,665,0,0,7518,665,390
1,1935,1573,884,989,0,0,6120,584,240
3,2007,1726,1726,1726,171,1,9416,0,786
2,2008,1256,1145,1256,0,1,4217,0,641
2,2003,1553,1553,1553,192,0,8736,0,588
3,2002,1712,1712,1712,218,1,16770,0,701
2,1939,2009,989,1245,0,1,6240,764,400
2,1912,759,451,759,40,0,10320,0,576
3,1996,2398,1379,1383,239,1,11787,1015,834
2,2003,1656,746,760,178,1,6931,896,397
1,1921,1298,651,759,216,1,6821,539,240
3,2002,1922,1922,1922,201,1,11305,0,692
2,1998,1724,880,880,120,0,8924,844,527
1,1900,1290,554,736,38,0,5870,554,200
1,1913,694,440,694,0,1,4280,0,352
1,1945,1487,735,798,0,1,8741,689,220
2,1997,1384,384,754,0,1,8872,630,390
2,1976,1324,1228,1324,407,1,8991,0,585
2,1975,1875,675,1109,48,1,10530,766,485
2,1954,1482,954,1482,0,1,16012,0,609
2,1964,2154,845,845,0,1,8800,1309,539
3,1999,1852,1004,1004,224,2,9066,848,660
2,1976,1523,1193,1523,0,1,11361,0,478
1,1920,1012,816,1012,121,0,9800,0,429
1,1956,1560,1150,1560,0,1,11767,0,313
1,1958,988,988,988,0,0,13587,0,264
1,1925,1060,756,916,0,1,6854,144,308
3,2005,1960,1728,1960,172,2,13618,0,714
0,1949,1192,720,720,0,0,10800,472,0
1,1951,884,884,884,0,0,15428,0,270
1,1930,1358,687,687,0,1,3600,671,336
2,1970,1657,1657,1657,0,1,12155,0,484
2,2002,2290,1128,1149,0,1,11250,1141,779
3,2008,2042,2042,2042,0,1,12704,0,1390
1,1965,965,828,965,421,0,7800,0,300
2,2006,1564,1546,1564,132,1,8298,0,502
2,2005,2064,1074,1074,0,1,13128,990,527
2,1925,764,680,764,0,0,5232,0,504
2,2001,1792,963,963,0,1,12435,829,564
1,1925,816,816,816,168,0,11672,0,210
3,2009,1968,774,774,0,1,12003,1194,680
3,2008,2402,3094,2402,0,2,15431,0,672
1,1950,932,932,932,0,1,8280,0,306
2,1960,1065,1065,1065,74,0,8892,0,461
1,1984,752,744,752,353,0,7175,0,264
2,1993,2075,1148,1091,235,1,10530,984,473
3,2004,1782,1782,1782,99,2,16870,0,932
2,1974,1026,970,1026,193,1,8410,0,528
1,1942,1282,672,778,0,0,4484,504,240
1,1950,1668,856,1112,0,0,9600,556,271
2,1994,1626,1602,1626,424,1,9938,0,534
2,2007,1419,1419,1419,140,1,8089,0,567
2,2005,1596,784,784,144,0,9316,812,610
1,1952,1008,1008,1008,0,0,12778,0,280
2,1917,2058,735,1134,0,1,9600,924,396
2,2006,1412,616,616,0,1,8499,796,432
1,1953,1036,1036,1036,120,0,7584,0,312
1,1935,1032,0,1032,0,1,8250,0,260
2,1970,864,864,864,96,0,6960,0,660
2,1998,1604,926,926,360,1,9978,678,470
1,1963,1380,1380,1380,0,0,10143,0,364
2,1963,925,925,925,203,0,8638,0,484
1,1937,906,348,453,0,0,4882,453,231
3,1997,1838,1838,1838,160,0,10126,0,721
2,1998,1337,1237,1337,0,0,4500,0,405
3,1915,1214,672,694,216,0,10410,520,936
2,1975,969,969,969,0,0,10356,0,440
3,2008,2296,1722,1728,382,1,13478,568,842
2,1999,1458,729,729,0,1,3230,729,440
2,1999,1337,1405,1337,203,1,5858,0,511
1,1979,918,918,918,28,1,7892,0,264
2,1974,1389,1389,1389,240,1,10010,0,418
1,1926,1224,818,818,0,0,3950,406,210
2,1948,1559,1559,1559,0,0,8100,0,812
1,1960,1144,1144,1144,0,1,9100,0,336
2,2001,1338,1338,1338,0,0,4920,0,582
3,2007,2656,1934,1943,268,1,13641,713,1040
1,1919,1636,818,818,0,1,9399,818,288
2,1974,1877,1084,1084,0,1,8000,793,488
2,1966,1320,1164,1320,160,2,11777,0,564
2,1992,1603,761,810,0,0,7153,793,484
2,1890,1869,1088,1188,48,0,8820,561,456
2,1940,1215,720,720,0,0,7000,495,720
0,1970,1092,546,546,200,0,1476,546,0
3,2006,2643,2153,2069,414,1,13693,574,694
0,1935,729,270,729,0,0,4130,0,0
1,1951,1091,1091,1091,66,1,7801,0,344
2,1996,2013,1117,1127,180,1,9920,886,455
1,1977,1268,1268,1268,173,0,9286,0,252
1,1955,972,972,972,0,0,10895,0,305
2,1950,1067,1067,1067,290,0,9600,0,436
2,1952,733,0,733,0,0,14584,0,487
2,2005,1752,1752,1752,196,1,7658,0,576
2,2004,1710,1710,1710,100,1,12118,0,550
2,1999,1430,384,774,0,1,7848,656,410
2,1992,883,828,883,100,1,7669,0,698
2,1961,1155,1109,1155,192,0,11782,0,576
3,2006,1656,1656,1656,0,0,11096,0,826
2,1977,1279,1196,1279,238,2,10125,0,473
1,1939,1342,739,874,0,1,6000,468,240
1,1940,1302,680,798,0,2,6960,504,224
2,1972,1181,1138,1181,0,0,10012,0,588
2,2005,1367,1367,1367,0,1,12304,0,484
2,1964,1582,1624,1582,168,0,36500,0,390
2,2004,1709,970,970,0,0,2522,739,380
1,1941,1288,824,824,0,0,6191,464,240
2,2001,1665,810,810,0,0,8400,855,528
3,2007,1689,1689,1689,0,0,9849,0,954
1,1940,1750,983,983,245,0,12508,767,423
1,1963,864,864,864,0,0,6360,0,276
2,2006,1330,1330,1330,0,1,8334,0,437
2,2002,1725,840,840,0,0,8749,885,550
2,1993,1744,996,1014,370,0,9453,730,457
1,1925,1236,768,788,0,1,7006,448,384
1,1920,835,458,835,0,0,10625,0,366
2,2004,1646,1594,1646,128,1,3842,0,525
1,1920,1317,649,649,0,0,8500,668,250
2,1975,1533,1533,1533,200,2,70761,0,576
2,1981,1226,1226,1226,133,2,3782,0,484
2,2006,1326,1326,1326,100,0,11660,0,427
0,1920,1198,901,1088,0,0,5586,110,0
2,2006,1460,1460,1460,0,1,10037,0,480
2,2005,1223,600,520,0,0,2544,623,480
1,1922,1180,700,1180,0,1,11600,0,252
2,1995,2061,1070,1094,296,1,9085,967,647
2,2000,1671,959,959,0,1,10852,712,472
1,1972,987,483,483,0,1,1680,504,288
2,1997,1608,945,945,252,1,10179,663,470
2,2005,1536,768,768,0,0,9045,768,400
2,2002,1358,1348,1358,68,1,11088,0,418
2,1993,1775,740,1006,234,1,9317,769,425
2,1957,1073,1073,1073,0,0,6565,0,720
3,1946,1499,904,904,0,1,9000,595,869
2,2001,1337,1337,1337,136,1,4113,0,511
1,1956,1375,1240,1375,0,1,14175,0,323
2,1997,1511,802,802,95,1,11207,709,413
3,2010,1418,1642,1418,160,1,12853,0,852
1,1962,1207,1135,1207,0,0,9510,0,264
3,2007,1555,1373,1555,143,1,3684,0,660
2,1945,998,0,998,0,0,9000,0,460
2,2005,1561,1561,1561,203,1,7313,0,556
2,1923,1576,1324,1072,0,1,21384,504,528
0,1922,2128,1040,1088,0,0,3000,1040,0
2,1965,2140,744,825,0,1,8970,1315,549
2,1960,1224,1224,1224,474,1,20000,0,576
3,2005,2490,2458,2490,70,2,11128,0,795
3,1998,2475,1629,1645,23,1,17433,830,962
2,1958,864,864,864,0,0,9100,0,624
2,1980,1686,1686,1686,384,1,10240,0,612
2,2002,1720,840,840,138,1,8010,880,400
2,2005,1362,1362,1362,192,1,6289,0,460
2,1961,1773,1313,1773,355,2,10800,0,418
2,1994,2687,2062,2079,168,0,13108,608,618
2,1980,1056,1056,1056,264,0,6979,0,576
2,2005,1132,1132,1132,252,0,7024,0,451
1,1972,1092,546,546,0,0,1484,546,253
3,2003,1589,1406,1589,143,1,3621,0,630
2,1964,1440,720,720,0,1,9350,720,480
2,1910,1232,616,616,280,0,4571,616,480
2,2004,1515,789,813,0,1,9024,702,393
1,1925,1472,702,842,0,0,9600,630,250
2,1980,2362,2002,2362,180,1,12000,0,546
2,2004,2466,1580,1580,159,1,11143,886,610
0,1920,1701,600,1101,0,0,7627,600,0
3,2000,2198,1145,1145,192,1,14260,1053,836
2,1997,1682,1664,1682,0,1,6264,0,528
2,1964,1486,1486,1486,0,0,9937,0,480
2,2000,1874,1058,1058,0,1,7500,816,588
2,1974,1322,855,855,260,1,2308,467,440
2,1978,1040,960,1040,131,1,7176,0,616
3,2004,1512,1512,1512,210,0,10141,0,845
1,1900,1844,709,1157,84,2,4800,687,240
1,1948,1458,912,912,192,1,17503,546,330
2,1879,2454,819,1312,0,1,13500,1142,576
3,2003,1455,1415,1455,156,1,3940,0,644
2,1921,2601,612,990,183,0,9842,1611,621
2,1966,2157,924,1216,105,2,14200,941,487
3,1998,2582,1389,1411,286,1,11002,1171,758
2,1992,1187,1168,1187,0,0,9556,0,420
2,1992,1287,624,624,150,0,10429,663,440
3,1880,3493,1470,1675,302,1,18386,1818,870
2,1977,1008,923,1008,201,1,9129,0,678
1,1950,1558,910,910,289,0,13710,648,282
1,1959,876,876,876,0,0,6410,0,320
1,1920,1802,793,901,0,1,7588,901,216
1,1942,1453,835,955,0,2,6360,498,240
2,1915,1338,832,846,0,0,7822,492,528
2,2004,1488,1488,1488,168,1,4835,0,506
1,1954,825,825,825,0,0,7200,0,350
3,2005,1616,1616,1616,208,0,8688,0,834
2,2006,1352,1352,1352,0,1,3606,0,466
2,2005,1072,547,1072,0,0,3675,0,525
2,2003,1080,530,530,0,0,4447,550,496
1,1924,872,872,872,0,1,17529,0,322
2,1980,788,728,788,133,1,4420,0,484
2,1999,1341,1341,1341,240,1,17227,0,482
0,1923,1828,859,942,174,0,9060,886,0
2,2000,1823,928,928,192,0,12192,895,626
2,1961,964,964,964,170,1,8243,0,784
1,1971,858,858,858,0,0,7340,0,684
2,2005,1364,1364,1364,192,1,7052,0,484
2,2004,1598,848,848,100,1,9171,750,433
2,2006,1797,939,939,144,0,9245,858,639
0,1902,1864,1020,978,0,0,5852,886,0
1,2004,1073,1073,1073,0,0,5500,0,246
2,1968,1770,900,884,0,0,8640,886,530
0,1947,912,0,672,0,0,6240,240,0
2,2005,1326,1326,1326,120,0,12216,0,388
2,1970,960,960,960,0,0,9873,0,576
2,1920,1376,768,752,0,0,8850,624,576
3,2009,1226,1226,1226,0,0,10402,0,740
2,1995,1734,1587,1734,52,0,8013,0,528
0,1965,1664,0,1664,0,0,9825,0,0
2,1980,1045,516,529,180,1,1782,516,462
1,1948,1224,816,816,414,0,8064,408,280
3,1994,2494,1290,1305,200,1,10236,1189,803
2,1969,988,938,988,0,2,21453,0,540
2,1990,1217,1188,1217,168,0,9947,0,497
3,2005,1838,1838,1838,161,1,11577,0,682
2,1922,1470,738,868,0,0,10560,602,624
1,1969,1479,864,864,287,0,10544,615,275
2,1955,864,864,864,196,0,8172,0,528
2,2004,1582,770,770,0,0,8320,812,520
2,1997,1692,878,892,0,1,9337,800,513
2,1936,1040,528,548,306,0,6240,492,624
1,1959,1440,1248,1440,150,0,9840,0,480
2,2008,1506,1498,1506,0,1,14587,0,592
1,1957,1306,992,1306,0,0,8712,0,756
2,1925,1281,1151,845,0,0,10284,436,580
1,1928,1576,1042,1042,0,1,6240,534,225
3,2004,2452,1117,1132,113,1,13418,1320,691
2,1967,1296,0,1296,0,0,10791,0,516
3,2005,2376,1158,1158,240,1,14215,1218,853
2,2002,1811,972,972,225,1,8470,839,565
1,1973,988,526,526,120,0,1974,462,297
3,1990,3222,1673,1699,367,2,12376,1523,594
2,1941,1604,984,984,0,0,10998,620,660
3,2005,1590,1570,1590,176,0,11645,0,754
1,1973,987,483,483,52,0,1680,504,264
1,1973,1092,546,546,120,0,1974,546,286
2,2002,1573,1573,1573,0,0,9808,0,544
1,1947,1054,1046,1054,0,0,9488,0,240
3,1998,1976,1044,1079,210,1,9660,897,885
2,1973,1242,1242,1242,0,1,9600,0,528
2,1979,1229,1094,1229,120,2,7040,0,672
0,1971,1824,912,912,128,0,9400,912,0
0,1956,882,882,882,0,0,5500,0,0
2,2003,1733,847,847,100,1,12394,886,433
2,1900,1699,978,1014,0,0,10615,685,420
0,1907,1884,707,942,0,0,6449,942,0
2,2001,1312,1267,1312,256,0,6718,0,471
